Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual3X3_MPAD_72DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,72
Mapa_classificação_contextual3X3_MPAD_73DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,73
Mapa_classificação_contextual3X3_MPAD_74DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,74
Mapa_classificação_contextual3X3_MPAD_75DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,75
Mapa_classificação_contextual3X3_MPAD_76DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,76
Mapa_classificação_contextual3X3_MPAD_77DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,77
Mapa_classificação_contextual3X3_MPAD_78DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,78
Mapa_classificação_contextual3X3_MPAD_79DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,79
Mapa_classificação_contextual3X3_MPAD_80DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,80
Mapa_classificação_contextual3X3_MPAD_81DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,81
Mapa_classificação_contextual3X3_MPAD_82DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,82
Mapa_classificação_contextual3X3_MPAD_83DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,83
Mapa_classificação_contextual3X3_MPAD_84DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,84
Mapa_classificação_contextual3X3_MPAD_85DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,85
Mapa_classificação_contextual3X3_MPAD_86DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,86
Mapa_classificação_contextual3X3_MPAD_87DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,87
Mapa_classificação_contextual3X3_MPAD_88DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,88
Mapa_classificação_contextual3X3_MPAD_89DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,89
Mapa_classificação_contextual3X3_MPAD_90DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,90
Mapa_classificação_contextual3X3_MPAD_91DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,91
Mapa_classificação_contextual3X3_MPAD_92DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,92
Mapa_classificação_contextual3X3_MPAD_93DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,93
Mapa_classificação_contextual3X3_MPAD_94DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,94
Mapa_classificação_contextual3X3_MPAD_95DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,95
Mapa_classificação_contextual3X3_MPAD_96DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,96
